,export,import,trading_deficit
184,3936129775,3217064124,-719065651
185,4423516871,3359985804,-1063531067
186,4645993381,3540083612,-1105909769
187,4224847644,3162284761,-1062562883
188,4705150875,3468523519,-1236627356
189,3859903993,3453338979,-406565014
190,4094048440,2816798387,-1277250053
191,4591211719,3350661726,-1240549993
192,4346653587,3124009126,-1222644461
193,4042302154,2824213082,-1218089072
194,4346411506,3132921136,-1213490370
195,4561303764,3251096504,-1310207260
196,4014009880,3123044847,-890965033
197,4596562432,3054992321,-1541570111
198,4381385777,3015404845,-1365980932
199,3679159642,2788936281,-890223361
200,4132051044,2718229949,-1413821095
201,3450558739,2696581738,-753977001
202,3593228534,2662082497,-931146037
203,4305720229,3002238643,-1303481586
204,4023570532,2986604714,-1036965818
205,3561098110,2741014122,-820083988
206,4086833418,2924476179,-1162357239
207,4219760216,2977241777,-1242518439
208,3736971556,3039850528,-697121028
209,4270431731,2895532232,-1374899499
210,4132708510,2963671008,-1169037502
211,3889473734,3226216496,-663257238
212,4277200932,3152498129,-1124702803
213,3512721254,2992192350,-520528904
214,4136816214,2957534578,-1179281636
215,4700061682,3594783576,-1105278106
216,4377801174,3236988257,-1140812917
217,3851459857,3276435493,-575024364
218,4487227124,3294590458,-1192636666
219,4313204396,3312744506,-1000459890
220,4204857926,3598579064,-606278862
221,4679180275,3386040037,-1293140238
222,4476240990,3787235915,-689005075
223,4283071028,3687485623,-595585405
224,4631555840,3813813111,-817742729
225,3623926991,3722447077,98520086
226,4197397479,3321682161,-875715318
227,4919317571,4011328312,-907989259
228,4329641863,3668723105,-660918758
229,3815616144,3739635172,-75980972
230,4138701218,3379705890,-758995328
231,4037119145,3619999731,-417119414
232,3829973960,3520153767,-309820193
233,4162910770,3119888096,-1043022674
234,4073627215,3612558913,-461068302
235,3889579298,3397419893,-492159405
236,3961432657,3301990885,-659441772
237,3559469049,3389439054,-170029995
238,4021653229,3244348010,-777305219
239,4773067920,3515208354,-1257859566
240,4400810114,3573629714,-827180400
241,4152221300,3535013417,-617207883
242,4430440263,3209513349,-1220926914
243,4396515316,3651637631,-744877685
244,4068125399,3428898494,-639226905
245,4449754036,3398715832,-1051038204
246,4649559510,3757629587,-891929923
247,4639711272,3750093576,-889617696
248,4567628327,3773378927,-794249400
249,3841450944,3745323180,-96127764
250,4324756091,3397573362,-927182729
251,4806134773,3845694609,-960440164
252,4608993190,3780476829,-828516361
253,4301341249,3612061805,-689279444
254,4428450197,3590678652,-837771545
255,4643177851,3854003867,-789173984
256,4329863776,3551402162,-778461614
257,4858550901,3760791874,-1097759027
258,4900483442,3830868789,-1069614653
259,4547423083,3557493736,-989929347
260,4957724675,3835654487,-1122070188
261,4274217072,3785937084,-488279988
262,4767653991,3371976820,-1395677171
263,5442413651,4323834658,-1118578993
264,5106308596,4031562860,-1074745736
265,4729667988,3793552714,-936115274
266,5289194812,4148621116,-1140573696
267,5307465560,4178830575,-1128634985
268,4785482153,4212543255,-572938898
269,5445803712,4232570452,-1213233260
270,5472011536,4317953930,-1154057606
271,5155195150,4557901734,-597293416
272,5394564873,4261351148,-1133213725
273,4411409724,4223237785,-188171939
274,4846300703,3762243525,-1084057178
275,5776009924,4665412271,-1110597653
276,5504325510,4556789013,-947536497
277,4795218354,4510471065,-284747289
278,5478184130,4619861311,-858322819
279,5536780403,4674822852,-861957551
280,5219992808,5117418084,-102574724
281,5927109293,4978514768,-948594525
282,5910577029,5092710633,-817866396
283,5913569829,5319153065,-594416764
284,6337066450,5428757809,-908308641
285,5003670510,5398061522,394391012
286,5849493549,4939724360,-909769189
287,6814169239,5875007216,-939162023
288,6128869787,5518229259,-610640528
289,5703411640,5347092349,-356319291
290,6270737656,5470998164,-799739492
291,6320652373,5469541956,-851110417
292,6140483896,5948717914,-191765982
293,6828440999,5821682055,-1006758944
294,6597470698,5984091333,-613379365
295,6629634482,5721671318,-907963164
296,6959138563,5849475626,-1109662937
297,5952671779,5950876333,-1795446
298,6416106967,5454625525,-961481442
299,7512966598,5910344170,-1602622428
300,6633504327,5730446967,-903057360
301,6567848343,6172301857,-395546486
302,7286038674,6040084531,-1245954143
303,7063106295,6381147551,-681958744
304,7034674469,6291025502,-743648967
305,7255475808,5646800569,-1608675239
306,7506492548,6507053382,-999439166
307,7268584026,6484190687,-784393339
308,7433967778,6567023353,-866944425
309,6408322709,6514634706,106311997
310,6973674679,6037854109,-935820570
311,7681691634,6585510054,-1096181580
312,6889454205,6430726617,-458727588
313,6806770184,6465660628,-341109556
314,7152136890,7048036399,-104100491
315,7624498933,7542581725,-81917208
316,7051439164,7365671561,314232397
317,7361301985,7270331565,-90970420
318,6914810591,6990024853,75214262
319,5323503329,5551007837,227504508
320,4830483304,5152709872,322226568
321,3477825156,4445761560,967936404
322,3529575459,3458727747,-70847712
323,4183794290,4189201290,5407000
324,4194707904,4145719899,-48988005
325,4019951604,3738560178,-281391426
326,4594409653,4107418232,-486991421
327,4843000548,4477332505,-365668043
328,4509804115,4344586189,-165217926
329,5109385524,4591756385,-517629139
330,5308318725,4508259352,-800059373
331,4988162904,4622905877,-365257027
332,5411678206,4869148565,-542529641
333,4900888348,4857806000,-43082348
334,5127147354,4488869743,-638277611
335,6000424097,5068488946,-931935151
336,5889744011,5160502871,-729241140
337,5308604342,4999477334,-309127008
338,5867219926,5196697325,-670522601
339,5981905101,5197294412,-784610689
340,5209756988,5146004474,-63752514
341,5839634979,5065320646,-774314333
342,5722496396,4909868795,-812627601
343,5439804284,5282183737,-157620547
344,6112000870,5392442557,-719558313
