,CPI,Unemployment rate(25-44),Government_debt,Population in Japan,M2_Aver. Outstanding Balance YoY,USD_to_JPY
455,100.3,3.325,11145400.0,126370000.0,3.1,107.42
456,100.2,3.425,11246907.0,126342000.0,3.7,107.85
457,100.1,3.475,11433988.0,126310000.0,5.1,107.28
458,99.9,3.675,11590289.0,126279000.0,7.3,107.6
459,100.0,3.65,11831247.0,126261000.0,7.9,106.75
460,100.1,4.025,11982667.0,126239000.0,8.6,106.02
461,99.9,3.95,11899160.0,126187000.0,9.0,105.67
462,99.8,3.975,12049231.0,126146099.0,9.0,105.21
463,99.5,3.55,12204361.0,125669000.0,9.1,104.4
464,99.3,3.675,12124680.0,125651000.0,9.2,103.83
465,99.8,3.625,12214568.0,125630000.0,9.4,103.7
466,99.8,3.5,12288132.0,125552000.0,9.6,105.38
467,99.9,3.35,12164634.0,125480000.0,9.5,108.7
468,99.1,3.775,12244414.0,125417000.0,9.3,109.1
469,99.4,3.725,12323161.0,125339000.0,8.0,109.13
470,99.5,3.7,12206368.0,125285000.0,5.9,110.09
471,99.7,3.4,12230234.0,125682000.0,5.3,110.26
472,99.7,3.45,12259981.0,125633000.0,4.7,109.82
473,100.1,3.3,12151532.0,125559000.0,4.2,110.2
474,99.9,3.075,12224187.0,125502000.0,4.2,113.09
475,100.1,3.225,12312619.0,125443000.0,4.0,114.03
476,100.1,2.95,12184330.0,125380000.0,3.7,113.88
477,100.3,3.475,12282219.0,125309000.0,3.6,114.84
478,100.7,3.475,12414088.0,125194000.0,3.6,115.16
479,101.1,3.325,12413074.0,125103000.0,3.5,118.54
480,101.5,3.575,12525478.0,125071000.0,3.4,126.13
481,101.8,3.55,12636037.0,125072000.0,3.1,128.68
482,101.8,3.375,12551932.0,125104000.0,3.3,133.85
483,102.3,3.225,12598702.0,125125000.0,3.4,136.7
484,102.7,3.3,12638289.0,125082000.0,3.4,135.28
485,103.1,3.45,12513796.0,124971000.0,3.3,143.09
486,103.7,3.075,12583996.0,124947000.0,3.1,147.16
487,103.9,2.85,12692991.0,124913000.0,3.1,142.17
488,104.1,2.675,12569992.0,124861000.0,2.9,134.85
489,104.7,2.95,12667450.0,124752000.0,2.7,130.28
490,104.0,3.15,12770467.0,124631000.0,2.6,132.69
491,104.4,3.7,12704990.0,124567000.0,2.5,133.86
492,105.1,3.65,12778443.0,124554000.0,2.6,133.4
493,105.1,3.35,12877520.0,124477000.0,2.6,137.39
494,105.2,3.2,12763155.0,124511000.0,2.6,141.33
495,105.7,3.425,12820188.0,124517000.0,2.5,141.2
496,105.9,3.55,12882513.0,124439000.0,2.5,144.73
497,106.2,3.5,12756116.0,124348000.0,2.4,147.65
498,107.1,3.375,12824246.0,124352000.0,2.4,149.59
499,106.9,2.95,12952287.0,124342000.0,2.3,149.88
500,106.8,2.925,12864520.0,124299000.0,2.3,144.09
501,106.9,2.925,12947860.0,124143000.0,2.5,146.59
502,106.9,3.125,13057720.0,124105000.0,2.4,149.41
503,107.2,3.4,12971615.0,123970000.0,2.5,149.7
