,CPI,Unemployment rate(25-44),Government_debt,Population in Japan,M2_Aver. Outstanding Balance YoY,USD_to_JPY
104,91.0,1.95,2216991.0,123702000.0,8.5,133.72
105,91.6,2.15,2199527.0,123606000.0,7.4,133.65
106,91.3,2.0,2179921.0,123797000.0,5.5,130.44
107,91.8,2.225,2237926.0,123817000.0,5.1,137.09
108,92.3,2.425,2274021.0,123869000.0,3.8,137.15
109,92.8,2.275,2253498.0,123826000.0,3.6,138.02
110,92.4,2.1,2250775.0,123922000.0,3.7,139.83
111,92.3,2.025,2238825.0,123964000.0,3.4,137.98
112,92.5,2.075,2215349.0,123895000.0,2.7,136.85
113,92.7,2.275,2222446.0,123997000.0,2.2,134.59
114,93.7,2.175,2265689.0,124101000.0,2.1,130.81
115,93.8,1.9,2271146.0,124143000.0,2.4,129.64
116,93.4,1.75,2263455.0,124204000.0,2.0,128.07
117,93.2,2.3,2261910.0,124067000.0,1.8,125.05
118,93.1,2.25,2267463.0,124217000.0,1.6,127.53
119,93.6,2.15,2312954.0,124179000.0,1.8,132.75
120,94.6,2.075,2355800.0,124259000.0,1.6,133.59
121,94.6,2.15,2327394.0,124298000.0,1.1,130.55
122,94.6,2.15,2352265.0,124367000.0,0.9,126.9
123,93.8,2.075,2326142.0,124425000.0,0.2,125.66
124,94.1,2.175,2324096.0,124341000.0,0.3,126.34
125,94.6,2.275,2353508.0,124468000.0,-0.5,122.72
126,94.6,2.475,2371522.0,124567000.0,-0.6,121.14
127,94.5,2.375,2395775.0,124566000.0,-0.6,123.84
128,94.5,2.225,2410572.0,124650000.0,-0.4,123.98
129,94.4,2.425,2373052.0,124528000.0,-0.3,125.02
130,94.5,2.575,2398019.0,124665000.0,0.1,120.97
131,94.7,2.475,2467239.0,124625000.0,-0.4,117.02
132,95.4,2.45,2550161.0,124677000.0,0.5,112.37
133,95.4,2.5,2540303.0,124650000.0,1.5,110.23
134,95.4,2.525,2552853.0,124791000.0,1.4,107.29
135,95.6,2.45,2503936.0,124829000.0,1.6,107.77
136,95.9,2.7,2505220.0,124725000.0,1.7,103.72
137,96.0,2.7,2520738.0,124846000.0,1.9,105.27
138,95.9,2.75,2541097.0,124938000.0,1.8,106.94
139,95.4,2.65,2557927.0,124961000.0,1.5,107.81
140,95.4,2.775,2583834.0,125002000.0,1.4,109.72
141,95.5,3.225,2555414.0,124870000.0,1.6,111.49
142,95.5,3.325,2574647.0,125019000.0,1.5,106.14
143,96.0,3.125,2679932.0,124965000.0,1.9,105.12
144,96.2,2.85,2733124.0,125018000.0,2.2,103.48
145,96.3,2.875,2723742.0,124967000.0,1.7,104.0
146,95.9,2.775,2727706.0,125137000.0,1.5,102.69
147,95.4,2.85,2754929.0,125178000.0,2.0,98.54
148,95.9,3.1,2749394.0,125071000.0,1.9,99.86
149,96.2,3.075,2760933.0,125183000.0,2.3,98.79
150,96.6,3.325,2793595.0,125265000.0,2.4,98.4
151,96.3,3.025,2820363.0,125338000.0,2.7,98.0
152,96.1,2.9,2855305.0,125385000.0,2.9,100.17
153,96.1,3.2,2829277.0,125245000.0,3.1,99.79
154,95.8,3.225,2863842.0,125405000.0,3.6,98.23
155,95.7,3.25,2921728.0,125327000.0,3.5,90.77
156,96.0,3.3,3043196.0,125362000.0,3.1,83.53
157,96.2,3.475,3012647.0,125324000.0,3.1,85.21
158,96.1,3.0,3008407.0,125448000.0,3.1,84.54
159,95.6,3.0,2983546.0,125472000.0,2.7,87.24
160,95.7,3.325,2985071.0,125362000.0,2.7,94.56
161,96.3,3.425,3058257.0,125457000.0,2.6,100.31
162,96.0,3.65,3068496.0,125570246.0,2.4,100.68
163,95.7,3.575,3107277.0,125615000.0,3.3,101.89
164,95.7,3.45,3127390.0,125648000.0,3.2,101.86
165,95.6,3.7,3111137.0,125500000.0,3.1,105.81
166,95.4,3.525,3148513.0,125633000.0,2.8,105.7
167,95.6,3.5,3263526.0,125587000.0,3.0,105.85
168,96.2,3.75,3326813.0,125634000.0,2.8,107.4
169,96.4,3.7,3329406.0,125621000.0,3.2,106.49
170,96.1,3.375,3341309.0,125719000.0,3.7,108.82
171,96.0,3.35,3320204.0,125757000.0,3.7,109.25
172,95.9,3.375,3320309.0,125658000.0,3.7,107.84
173,96.3,3.4,3356210.0,125737000.0,3.4,109.76
174,96.5,3.5,3396114.0,125859000.0,3.6,112.3
