Date,CPI,Unemployment rate(25-44),Government_debt,Population in Japan,M2_Aver. Outstanding Balance YoY,USD_to_JPY
30/06/2020,99.9,3.675,11590289,126279000,7.3,107.6
31/07/2020,100,3.65,11831247,126261000,7.9,106.75
31/08/2020,100.1,4.025,11982667,126239000,8.6,106.02
30/09/2020,99.9,3.95,11899160,126187000,9,105.67
31/10/2020,99.8,3.975,12049231,126146099,9,105.21
30/11/2020,99.5,3.55,12204361,125669000,9.1,104.4
31/12/2020,99.3,3.675,12124680,125651000,9.2,103.83
31/01/2021,99.8,3.625,12214568,125630000,9.4,103.7
28/02/2021,99.8,3.5,12288132,125552000,9.6,105.38
31/03/2021,99.9,3.35,12164634,125480000,9.5,108.7
30/04/2021,99.1,3.775,12244414,125417000,9.3,109.1
31/05/2021,99.4,3.725,12323161,125339000,8,109.13
30/06/2021,99.5,3.7,12206368,125285000,5.9,110.09
31/07/2021,99.7,3.4,12230234,125682000,5.3,110.26
31/08/2021,99.7,3.45,12259981,125633000,4.7,109.82
30/09/2021,100.1,3.3,12151532,125559000,4.2,110.2
31/10/2021,99.9,3.075,12224187,125502000,4.2,113.09
30/11/2021,100.1,3.225,12312619,125443000,4,114.03
31/12/2021,100.1,2.95,12184330,125380000,3.7,113.88
31/01/2022,100.3,3.475,12282219,125309000,3.6,114.84
28/02/2022,100.7,3.475,12414088,125194000,3.6,115.16
31/03/2022,101.1,3.325,12413074,125103000,3.5,118.54
30/04/2022,101.5,3.575,12525478,125071000,3.4,126.13
31/05/2022,101.8,3.55,12636037,125072000,3.1,128.68
30/06/2022,101.8,3.375,12551932,125104000,3.3,133.85
31/07/2022,102.3,3.225,12598702,125125000,3.4,136.7
31/08/2022,102.7,3.3,12638289,125082000,3.4,135.28
30/09/2022,103.1,3.45,12513796,124971000,3.3,143.09
31/10/2022,103.7,3.075,12583996,124947000,3.1,147.16
30/11/2022,103.9,2.85,12692991,124913000,3.1,142.17
31/12/2022,104.1,2.675,12569992,124861000,2.9,134.85
31/01/2023,104.7,2.95,12667450,124752000,2.7,130.28
28/02/2023,104,3.15,12770467,124631000,2.6,132.69
31/03/2023,104.4,3.7,12704990,124567000,2.5,133.86
30/04/2023,105.1,3.65,12778443,124554000,2.6,133.4
31/05/2023,105.1,3.35,12877520,124477000,2.6,137.39
30/06/2023,105.2,3.2,12763155,124511000,2.6,141.33
31/07/2023,105.7,3.425,12820188,124517000,2.5,141.2
31/08/2023,105.9,3.55,12882513,124439000,2.5,144.73
30/09/2023,106.2,3.5,12756116,124348000,2.4,147.65
31/10/2023,107.1,3.375,12824246,124352000,2.4,149.59
30/11/2023,106.9,2.95,12952287,124342000,2.3,149.88
31/12/2023,106.8,2.925,12864520,124299000,2.3,144.09
31/01/2024,106.9,2.925,12947860,124143000,2.5,146.59
29/02/2024,106.9,3.125,13057720,124105000,2.4,149.41
31/03/2024,107.2,3.4,12971615,123970000,2.5,149.7
